Company,Symbol,Sector,Industry,Exchange,MarketCap
Adani Enterprises Ltd.,ADANIENT,Distribution Services,Wholesale Distributors,NSE,32478061.936729506
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Transportation,Other Transportation,NSE,22127383.2831075
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Health Services,Hospital/Nursing Management,NSE,8201620.619937
Asian Paints Ltd.,ASIANPAINT,Process Industries,Industrial Specialties,NSE,32635745.60696
Axis Bank Ltd.,AXISBANK,Finance,Regional Banks,NSE,33991569.444873
Bajaj Auto Ltd.,BAJAJ-AUTO,,,,19233319.016655
Bajaj Finance Ltd.,BAJFINANCE,Finance,Finance/Rental/Leasing,NSE,45287186.0248675
Bajaj Finserv Ltd.,BAJAJFINSV,Finance,Life/Health Insurance,NSE,26896750.409554
Bharat Petroleum Corporation Ltd.,BPCL,Energy Minerals,Oil Refining/Marketing,NSE,9775737.490836
Bharti Airtel Ltd.,BHARTIARTL,Communications,Wireless Telecommunications,NSE,58028012.499392
Britannia Industries Ltd.,BRITANNIA,Consumer Non-Durables,Food: Specialty/Candy,NSE,12858633.547812
Cipla Ltd.,CIPLA,Health Technology,Pharmaceuticals: Other,NSE,10062008.010274
Coal India Ltd.,COALINDIA,Energy Minerals,Coal,NSE,23171858.50952
Divi's Laboratories Ltd.,DIVISLAB,Health Technology,Pharmaceuticals: Major,NSE,10363627.89462
Dr. Reddy's Laboratories Ltd.,DRREDDY,Health Technology,Pharmaceuticals: Major,NSE,9671442.028663
Eicher Motors Ltd.,EICHERMOT,Consumer Durables,Motor Vehicles,NSE,11343887.8425
Grasim Industries Ltd.,GRASIM,Non-Energy Minerals,Construction Materials,NSE,14056564.790268
HCL Technologies Ltd.,HCLTECH,Technology Services,Information Technology Services,NSE,39785043.972456
HDFC Bank Ltd.,HDFCBANK,Finance,Regional Banks,NSE,129740453.999887
HDFC Life Insurance Company Ltd.,HDFCLIFE,Finance,Multi-Line Insurance,NSE,13908315.736672
Hero MotoCorp Ltd.,HEROMOTOCO,Consumer Durables,Motor Vehicles,NSE,8274428.6420115
Hindalco Industries Ltd.,HINDALCO,Non-Energy Minerals,Other Metals/Minerals,NSE,13817010.7916655
Hindustan Unilever Ltd.,HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NSE,62591936.424049005
ICICI Bank Ltd.,ICICIBANK,Finance,Regional Banks,NSE,69902440.891932
ITC Ltd.,ITC,Consumer Non-Durables,Tobacco,NSE,57649787.673312
IndusInd Bank Ltd.,INDUSINDBK,Finance,Major Banks,NSE,12435548.724089
Infosys Ltd.,INFY,Technology Services,Information Technology Services,NSE,64037070.702681
JSW Steel Ltd.,JSWSTEEL,Non-Energy Minerals,Steel,NSE,21526108.535715
Kotak Mahindra Bank Ltd.,KOTAKBANK,Finance,Major Banks,NSE,37924093.150021
LTIMindtree Ltd.,LTIM,Commercial Services,Miscellaneous Commercial Services,NSE,18627749.3229685
Larsen & Toubro Ltd.,LT,Industrial Services,Engineering & Construction,NSE,48466573.5869
Maruti Suzuki India Ltd.,MARUTI,Consumer Durables,Motor Vehicles,NSE,32390853.582489
NTPC Ltd.,NTPC,Utilities,Electric Utilities,NSE,30171176.675941
Nestle India Ltd.,NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NSE,25627586.559948
Oil & Natural Gas Corporation Ltd.,ONGC,Energy Minerals,Oil Refining/Marketing,NSE,25795862.511903
Power Grid Corporation of India Ltd.,POWERGRID,Utilities,Alternative Power Generation,NSE,22061032.258668
Reliance Industries Ltd.,RELIANCE,Energy Minerals,Oil Refining/Marketing,NSE,174889554.787729
SBI Life Insurance Company Ltd.,SBILIFE,Finance,Life/Health Insurance,NSE,14343767.148178
State Bank of India,SBIN,Finance,Regional Banks,NSE,57300470.922247
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Health Technology,Pharmaceuticals: Major,NSE,30218424.279665
Tata Consultancy Services Ltd.,TCS,Technology Services,Information Technology Services,NSE,137248531.907812
Tata Consumer Products Ltd.,TATACONSUM,Consumer Non-Durables,Food: Specialty/Candy,NSE,10096498.6122
Tata Motors Ltd.,TATAMOTORS,Consumer Durables,Motor Vehicles,NSE,25916546.0734425
Tata Steel Ltd.,TATASTEEL,Non-Energy Minerals,Steel,NSE,17167076.782844
Tech Mahindra Ltd.,TECHM,Technology Services,Information Technology Services,NSE,12421247.9870105
Titan Company Ltd.,TITAN,Consumer Durables,Other Consumer Specialties,NSE,32630136.41772
UPL Ltd.,UPL,Process Industries,Chemicals: Agricultural,NSE,4407943.3717725
UltraTech Cement Ltd.,ULTRACEMCO,Non-Energy Minerals,Construction Materials,NSE,30320905.713557
Wipro Ltd.,WIPRO,Technology Services,Information Technology Services,NSE,24621822.533616003
,LICI,Finance,Life/Health Insurance,NSE,52655605.860825
,PNB,Finance,Major Banks,NSE,10543047.396785
,SRF,Process Industries,Industrial Specialties,NSE,7349112.4738125
,ZOMATO,Technology Services,Packaged Software,NSE,10775402.675131
,NAUKRI,Technology Services,Internet Software/Services,NSE,6650537.84418
,TATAPOWER,Utilities,Electric Utilities,NSE,10613320.3053605
,AMBUJACEM,Non-Energy Minerals,Construction Materials,NSE,10343225.997861
,JINDALSTEL,Non-Energy Minerals,Steel,NSE,7631279.053657
,SIEMENS,Producer Manufacturing,Electrical Products,NSE,14332771.902985
,TORNTPHARM,Health Technology,Pharmaceuticals: Major,NSE,7803028.84192
,PIIND,Process Industries,Chemicals: Specialty,NSE,5334257.310762
,SHREECEM,Non-Energy Minerals,Construction Materials,NSE,10338324.966684
,COLPAL,Consumer Non-Durables,Household/Personal Care,NSE,6880420.5832980005
,DLF,Finance,Real Estate Development,NSE,17980688.421504
,ICICIPRULI,Finance,Life/Health Insurance,NSE,7702120.5341735
,ZYDUSLIFE,Health Technology,Pharmaceuticals: Major,NSE,6976110.925988001
,IRCTC,Consumer Services,Other Consumer Services,NSE,7100000.0
,TRENT,Retail Trade,Apparel/Footwear Retail,NSE,10859964.1898195
,MARICO,Consumer Non-Durables,Household/Personal Care,NSE,7096677.33988
,VEDL,Non-Energy Minerals,Aluminum,NSE,9610836.7309345
,BANKBARODA,Finance,Major Banks,NSE,11951017.995669
,CANBK,Finance,Regional Banks,NSE,7936819.8525
,BERGEPAINT,Process Industries,Industrial Specialties,NSE,7048447.266663001
,IOC,Energy Minerals,Integrated Oil,NSE,18336428.0403255
,ADANIENSOL,,,,11665264.7324725
,ADANIGREEN,Utilities,Electric Utilities,NSE,25296998.67366
,TVSMOTOR,Consumer Durables,Motor Vehicles,NSE,9624314.755412
,INDIGO,Transportation,Airlines,NSE,11451378.189598
,BOSCHLTD,Producer Manufacturing,Auto Parts: OEM,NSE,6548708.83832
,ATGL,Utilities,Gas Distributors,NSE,10865573.7149985
,MOTHERSON,Producer Manufacturing,Auto Parts: OEM,NSE,6908561.582637
,AWL,Process Industries,Agricultural Commodities/Milling,NSE,4612559.369145
,BAJAJHLDNG,Finance,Financial Conglomerates,NSE,8541331.71846
,ICICIGI,Finance,Specialty Insurance,NSE,6989615.652393
,PGHH,Consumer Non-Durables,Household/Personal Care,NSE,5637147.644128
,DABUR,Consumer Non-Durables,Household/Personal Care,NSE,9873789.66252
,HAVELLS,Producer Manufacturing,Electrical Products,NSE,8572710.508885
,MUTHOOTFIN,Finance,Finance/Rental/Leasing,NSE,5926725.059283
