Ticker,Description,Sector,Industry,Exchange
LTIM,LTIMINDTREE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
GLOBAL,GLOBAL EDUCATION LTD,Commercial Services,Miscellaneous Commercial Services,NSE
VERANDA,VERANDA LEARNING SOL LTD,Commercial Services,Miscellaneous Commercial Services,NSE
AGRITECH,AGRI-TECH (INDIA),Commercial Services,Miscellaneous Commercial Services,NSE
RITES,RITES LTD,Commercial Services,Miscellaneous Commercial Services,NSE
FSL,FIRSTSOURCE SOLUTI,Commercial Services,Miscellaneous Commercial Services,NSE
SIS,SIS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
SYNGENE,SYNGENE INTERNATIO,Commercial Services,Miscellaneous Commercial Services,NSE
RADIANTCMS,RADIANT CASH MGMT SER LTD,Commercial Services,Miscellaneous Commercial Services,NSE
CAREERP,CAREER POINT LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ARSHIYA,ARSHIYA LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ARIHANTACA,ARIHANT ACADEMY LTD,Commercial Services,Miscellaneous Commercial Services,NSE
SPCENET,SPACENET ENTERPRIS,Commercial Services,Advertising/Marketing Services,NSE
DUGLOBAL,DUDIGITAL GLOBAL LTD,Commercial Services,Miscellaneous Commercial Services,NSE
REPRO,REPRO INDIA LTD,Commercial Services,Commercial Printing/Forms,NSE
KAPSTON,KAPSTON FACILITIES MGMT L,Commercial Services,Miscellaneous Commercial Services,NSE
VIMTALABS,VIMTA LABORATORIES,Commercial Services,Miscellaneous Commercial Services,NSE
PRESSMN,PRESSMAN ADVERTISI,Commercial Services,Advertising/Marketing Services,NSE
MAPMYINDIA,C.E. INFO SYSTEMS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ICRA,ICRA LTD,Commercial Services,Financial Publishing/Services,NSE
VERTOZ,VERTOZ ADVERTISING LTD,Commercial Services,Advertising/Marketing Services,NSE
AGSTRA,AGS TRANSACT TECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE
TEAMLEASE,TEAMLEASE SERVICES,Commercial Services,Personnel Services,NSE
SUVIDHAA,SUVIDHAA INFOSERVE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
AISL,ANI INTEGRATED SER,Commercial Services,Personnel Services,NSE
RTNINDIA,RATTANINDIA ENT LTD,Commercial Services,Miscellaneous Commercial Services,NSE
NOIDATOLL,NOIDA TOLL BRIDGE,Commercial Services,Advertising/Marketing Services,NSE
KHFM,KHFM H AND F MGT S,Commercial Services,Miscellaneous Commercial Services,NSE
4THDIM,FOURTH DIMENSION SOL L,Commercial Services,Miscellaneous Commercial Services,NSE
INFIBEAM,INFIBEAM AVENUES L,Commercial Services,Miscellaneous Commercial Services,NSE
ONEPOINT,ONE POINT ONE SOLU,Commercial Services,Miscellaneous Commercial Services,NSE
SMARTFIN,SMART FINSEC LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
DYNAMIC,DYNAMIC SERVICES &,Commercial Services,Miscellaneous Commercial Services,NSE
NIITLTD,NIIT,Commercial Services,Miscellaneous Commercial Services,NSE
ANTGRAPHIC,ANTARCTICA LTD,Commercial Services,Commercial Printing/Forms,NSE
APTECHT,APTECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE
QUESS,QUESS CORP LTD,Commercial Services,Personnel Services,NSE
CYIENT,CYIENT LTD,Commercial Services,Miscellaneous Commercial Services,NSE
VERTEXPLUS.ST,VERTEXPLUS TECHNOLOGIES L,Commercial Services,Miscellaneous Commercial Services,NSE
EDUCOMP,EDUCOMP SOLUTIONS,Commercial Services,Miscellaneous Commercial Services,NSE
AXISCADES,AXISCADES TECHNOLO,Commercial Services,Miscellaneous Commercial Services,NSE
KEEPLEARN,DSJ KEEP LEARNING,Commercial Services,Commercial Printing/Forms,NSE
QUADPRO,QUADPRO ITES LTD,Commercial Services,Miscellaneous Commercial Services,NSE
CHOICEIN,CHOICE INTERNATIONAL LTD,Commercial Services,Miscellaneous Commercial Services,NSE
CLEDUCATE,CL EDUCATE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
ECLERX,ECLERX SERVICES,Commercial Services,Miscellaneous Commercial Services,NSE
FCSSOFT,FCS SOFTWARE SOLUT,Commercial Services,Miscellaneous Commercial Services,NSE
TCPLPACK,TCPL PACKAGING LTD,Commercial Services,Commercial Printing/Forms,NSE
TOUCHWOOD,TOUCHWOOD ENTERTAI,Commercial Services,Miscellaneous Commercial Services,NSE
NBCC,NBCC (INDIA) LTD,Commercial Services,Miscellaneous Commercial Services,NSE
EXCEL,EXCEL REALTY N INF,Commercial Services,Miscellaneous Commercial Services,NSE
KANDARP,KANDARP DIGI SMART,Commercial Services,Miscellaneous Commercial Services,NSE
SECURCRED,SECUR CREDENTIALS LTD,Commercial Services,Financial Publishing/Services,NSE
DJML,DJ MEDIAPRINT & LOG LTD,Commercial Services,Commercial Printing/Forms,NSE
MITCON,MITCON CON,Commercial Services,Miscellaneous Commercial Services,NSE
CARERATING,CARE RATINGS LTD,Commercial Services,Financial Publishing/Services,NSE
ADROITINFO,ADROIT INFOTECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE
RMCL,RADHA MADHAV CORP,Commercial Services,Miscellaneous Commercial Services,NSE
ADL,ARCHIDPLY DECOR LIMTED,Commercial Services,Miscellaneous Commercial Services,NSE
HGS,HINDUJA GLOBAL SOL,Commercial Services,Miscellaneous Commercial Services,NSE
WEWIN,WE WIN LTD,Commercial Services,Miscellaneous Commercial Services,NSE
IPSL,INTEGRATED PERSONN,Commercial Services,Personnel Services,NSE
DGCONTENT,DIGICONTENT LTD,Commercial Services,Commercial Printing/Forms,NSE
AARVI,AARVI ENCON LTD,Commercial Services,Personnel Services,NSE
SNOWMAN,SNOWMAN LOGISTICS,Commercial Services,Miscellaneous Commercial Services,NSE
ALLSEC,ALLSEC TECHNOLOGIE,Commercial Services,Miscellaneous Commercial Services,NSE
LATENTVIEW,LATENT VIEW ANALYTICS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
BNRUDY,BNR UDYOG LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SUPRAP,SUPRA PACIFIC MANAGEMENT CONSU,Commercial Services,Miscellaneous Commercial Services,BSE
ESHAMEDIA,ESHA MEDIA RESEARCH LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
NETLINK,NETLINK SOLUTIONS (INDIA) LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SHANGAR,SHANGAR DECOR LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
MAJESAUT,MAJESTIC AUTO LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
KINETRU,KINETIC TRUST LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
VISVEN,VISHVPRABHA VENTURES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
CASPIAN,CASPIAN CORPORATE SERVICES LIM,Commercial Services,Miscellaneous Commercial Services,BSE
DAPS,DAPS ADVERTISING LIMITED,Commercial Services,Advertising/Marketing Services,BSE
BODHTREE,BODHTREE CONSULTING LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
JAYKAY,JAYKAY ENTERPRISES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
GGPL,GALA GLOBAL PRODUCTS LIMITED,Commercial Services,Commercial Printing/Forms,BSE
ALPHALOGIC,ALPHALOGIC TECHSYS LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
KIRANPR,KIRAN PRINT-PACK LTD.,Commercial Services,Commercial Printing/Forms,BSE
CHOKSILA,CHOKSI LABORATORIES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
AMBITION,AMBITION MICA LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
CIL,CITIZEN INFOLINE LTD.,Commercial Services,Advertising/Marketing Services,BSE
PREMCAP,PREMIER CAPITAL SERVICES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
SHARIKA,SHARIKA ENTERPRISES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
LIBORDFIN,LIBORD FINANCE LTD,Commercial Services,Miscellaneous Commercial Services,BSE
SEIL,SHANTI EDUCATIONAL INITIATIVES,Commercial Services,Miscellaneous Commercial Services,BSE
POBS,PLATINUMONE BUSINESS SERVICES,Commercial Services,Miscellaneous Commercial Services,BSE
VKAL,VANTAGE KNOWLEDGE ACADEMY LIMI,Commercial Services,Miscellaneous Commercial Services,BSE
UNICK,UNICK FIX-A- FORM AND PRINTERS,Commercial Services,Miscellaneous Commercial Services,BSE
SUGALDAM,SUGAL & DAMANI SHARE BROKERS L,Commercial Services,Miscellaneous Commercial Services,BSE
MADHUVEER,MADHUVEER COM 18 NETWORK LIMIT,Commercial Services,Miscellaneous Commercial Services,BSE
ATHARVENT,ATHARV ENTERPRISES LTD.,Commercial Services,Miscellaneous Commercial Services,BSE
MAAGHADV,MAAGH ADVERTISING AND MARKETIN,Commercial Services,Advertising/Marketing Services,BSE
PRISMX,PRISMX GLOBAL VENTURES LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
ISTRNETWK,ISTREET NETWORK LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
PROCLB,PRO CLB GLOBAL LIMITED,Commercial Services,Miscellaneous Commercial Services,BSE
BRANDBUCKT,BRANDBUCKET MEDIA & TECHNOLOGY,Commercial Services,Advertising/Marketing Services,BSE
KACL,KAISER CORPORATION LIMITED,Commercial Services,Commercial Printing/Forms,BSE
