Symbol,Market Cap
ADANIENT,32478061.936729502
ADANIPORTS,22127383.2831075
APOLLOHOSP,8201620.619937
ASIANPAINT,32635745.60696
AXISBANK,33991569.444873
BAJAJ-AUTO,19233319.016655
BAJFINANCE,45287186.0248675
BAJAJFINSV,26896750.409553997
BPCL,9775737.490836
BHARTIARTL,58028012.499392
BRITANNIA,12858633.547812
CIPLA,10062008.010274
COALINDIA,23171858.50952
DIVISLAB,10363627.89462
DRREDDY,9671442.028663
EICHERMOT,11343887.8425
GRASIM,14056564.790268
HCLTECH,39785043.972456
HDFCBANK,129740453.99988699
HDFCLIFE,13908315.736672
HEROMOTOCO,8274428.6420115
HINDALCO,13817010.7916655
HINDUNILVR,62591936.424049005
ICICIBANK,69902440.891932
ITC,57649787.673312
INDUSINDBK,12435548.724088999
INFY,64037070.702681
JSWSTEEL,21526108.535715
KOTAKBANK,37924093.150021
LTIM,18627749.3229685
LT,48466573.5869
MARUTI,32390853.582489
NTPC,30171176.675941
NESTLEIND,25627586.559947997
ONGC,25795862.511903
POWERGRID,22061032.258667998
RELIANCE,174889554.787729
SBILIFE,14343767.148178
SBIN,57300470.922247
SUNPHARMA,30218424.279665
TCS,137248531.907812
TATACONSUM,10096498.6122
TATAMOTORS,25916546.0734425
TATASTEEL,17167076.782844
TECHM,12421247.987010501
TITAN,32630136.41772
UPL,4407943.3717725
ULTRACEMCO,30320905.713557
WIPRO,24621822.533616003
LICI,52655605.860825
PNB,10543047.396785
SRF,7349112.4738125
ZOMATO,10775402.675131
NAUKRI,6650537.84418
TATAPOWER,10613320.3053605
AMBUJACEM,10343225.997861
JINDALSTEL,7631279.053657
SIEMENS,14332771.902985
TORNTPHARM,7803028.84192
PIIND,5334257.310762
SHREECEM,10338324.966684
COLPAL,6880420.5832980005
DLF,17980688.421504
ICICIPRULI,7702120.5341735
ZYDUSLIFE,6976110.925988001
IRCTC,7100000
TRENT,10859964.1898195
MARICO,7096677.33988
VEDL,9610836.730934499
BANKBARODA,11951017.995669
CANBK,7936819.8525
BERGEPAINT,7048447.266663001
IOC,18336428.0403255
ADANIENSOL,11665264.7324725
ADANIGREEN,25296998.67366
TVSMOTOR,9624314.755412
INDIGO,11451378.189598
BOSCHLTD,6548708.83832
ATGL,10865573.7149985
MOTHERSON,6908561.582637
AWL,4612559.369145
BAJAJHLDNG,8541331.71846
ICICIGI,6989615.652393
PGHH,5637147.644128
DABUR,9873789.66252
HAVELLS,8572710.508885
MUTHOOTFIN,5926725.059283
MCDOWELL-N,8129964.1594075
DMART,26567153.600702003
GAIL,10658236.522924
PIDILITIND,13809215.53649
SBICARD,7221762.1405585
HAL,18752451
BEL,13464612.603018
VBL,16069990.038144
GODREJCP,11570143.561648
SHRIRAMFIN,7710994.5024190005
ABB,9906398.6686875
CHOLAFIN,10577709.88788
BCG,390467.8824255
GODFRYPHLP,1096473.78192
POLICYBZR,3580969.867311
IFCI,725722.4410645
PTCIL,813755.7633855001
IMFA,269419.82831099996
SHILPAMED,286706.669094
UCOBANK,4752493.37496
MOL,197856.456158
ASTRAZEN,1381650
RATNAMANI,2357369.19
KPITTECH,4150126.037408
VTL,1116648.4902
USHAMART,903407.00681
KSCL,342577.12445400003
CLEAN,1645879.170495
APLLTD,1492700.363656
FUSION,582301.67314
VOLTAS,3237210.85379
AVANTIFEED,572299.768815
AETHER,1176118.5723289999
AIAENG,3479950.05115
PRSMJOHNSN,924917.71575
HEMIPROP,436620
ZENTEC,667815.68996
KEC,1514764.67604
GRAVITA,756759.0943110001
UTIAMC,1102147.25292
GANESHHOUC,347348.923395
ACE,987378.319634
BAYERCROP,
ALKYLAMINE,1296284.173695
ISEC,2320496.5892
PAISALO,414447.29677
CAMS,1302432.90444
NSLNISP,1506331.4069
BORORENEW,574213.765205
DEVYANI,2336351.576125
RUPA,213483.68132
WOCKPHARMA,611494.6006755
DELHIVERY,2861153.1842625
TRIVENI,754541.2956960001
SYNGENE,2819934.2175
POWERINDIA,2231119.7078625
SBCL,317139.9231
TORNTPOWER,4488239.837384
AARTIPHARM,457162.897356
KIRLOSENG,949669.798663
TIDEWATER,246401.496
ADVENZYMES,419731.6655125
GATEWAY,518630.301768
THERMAX,3671801.3845
BALAMINES,864620.685
SCI,758786.58729
APARINDS,2431548.78021
