Company Name,Symbol,Sector,Industry,Exchange
Adani Enterprises Ltd.,ADANIENT,Distribution Services,Wholesale Distributors,NSE
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Transportation,Other Transportation,NSE
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Health Services,Hospital/Nursing Management,NSE
Asian Paints Ltd.,ASIANPAINT,Process Industries,Industrial Specialties,NSE
Axis Bank Ltd.,AXISBANK,Finance,Regional Banks,NSE
Bajaj Auto Ltd.,BAJAJ-AUTO,,,
Bajaj Finance Ltd.,BAJFINANCE,Finance,Finance/Rental/Leasing,NSE
Bajaj Finserv Ltd.,BAJAJFINSV,Finance,Life/Health Insurance,NSE
Bharat Petroleum Corporation Ltd.,BPCL,Energy Minerals,Oil Refining/Marketing,NSE
Bharti Airtel Ltd.,BHARTIARTL,Communications,Wireless Telecommunications,NSE
Britannia Industries Ltd.,BRITANNIA,Consumer Non-Durables,Food: Specialty/Candy,NSE
Cipla Ltd.,CIPLA,Health Technology,Pharmaceuticals: Other,NSE
Coal India Ltd.,COALINDIA,Energy Minerals,Coal,NSE
Divi's Laboratories Ltd.,DIVISLAB,Health Technology,Pharmaceuticals: Major,NSE
Dr. Reddy's Laboratories Ltd.,DRREDDY,Health Technology,Pharmaceuticals: Major,NSE
Eicher Motors Ltd.,EICHERMOT,Consumer Durables,Motor Vehicles,NSE
Grasim Industries Ltd.,GRASIM,Non-Energy Minerals,Construction Materials,NSE
HCL Technologies Ltd.,HCLTECH,Technology Services,Information Technology Services,NSE
HDFC Bank Ltd.,HDFCBANK,Finance,Regional Banks,NSE
HDFC Life Insurance Company Ltd.,HDFCLIFE,Finance,Multi-Line Insurance,NSE
Hero MotoCorp Ltd.,HEROMOTOCO,Consumer Durables,Motor Vehicles,NSE
Hindalco Industries Ltd.,HINDALCO,Non-Energy Minerals,Other Metals/Minerals,NSE
Hindustan Unilever Ltd.,HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NSE
ICICI Bank Ltd.,ICICIBANK,Finance,Regional Banks,NSE
ITC Ltd.,ITC,Consumer Non-Durables,Tobacco,NSE
IndusInd Bank Ltd.,INDUSINDBK,Finance,Major Banks,NSE
Infosys Ltd.,INFY,Technology Services,Information Technology Services,NSE
JSW Steel Ltd.,JSWSTEEL,Non-Energy Minerals,Steel,NSE
Kotak Mahindra Bank Ltd.,KOTAKBANK,Finance,Major Banks,NSE
LTIMindtree Ltd.,LTIM,Commercial Services,Miscellaneous Commercial Services,NSE
Larsen & Toubro Ltd.,LT,Industrial Services,Engineering & Construction,NSE
Maruti Suzuki India Ltd.,MARUTI,Consumer Durables,Motor Vehicles,NSE
NTPC Ltd.,NTPC,Utilities,Electric Utilities,NSE
Nestle India Ltd.,NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NSE
Oil & Natural Gas Corporation Ltd.,ONGC,Energy Minerals,Oil Refining/Marketing,NSE
Power Grid Corporation of India Ltd.,POWERGRID,Utilities,Alternative Power Generation,NSE
Reliance Industries Ltd.,RELIANCE,Energy Minerals,Oil Refining/Marketing,NSE
SBI Life Insurance Company Ltd.,SBILIFE,Finance,Life/Health Insurance,NSE
State Bank of India,SBIN,Finance,Regional Banks,NSE
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Health Technology,Pharmaceuticals: Major,NSE
Tata Consultancy Services Ltd.,TCS,Technology Services,Information Technology Services,NSE
Tata Consumer Products Ltd.,TATACONSUM,Consumer Non-Durables,Food: Specialty/Candy,NSE
Tata Motors Ltd.,TATAMOTORS,Consumer Durables,Motor Vehicles,NSE
Tata Steel Ltd.,TATASTEEL,Non-Energy Minerals,Steel,NSE
Tech Mahindra Ltd.,TECHM,Technology Services,Information Technology Services,NSE
Titan Company Ltd.,TITAN,Consumer Durables,Other Consumer Specialties,NSE
UPL Ltd.,UPL,Process Industries,Chemicals: Agricultural,NSE
UltraTech Cement Ltd.,ULTRACEMCO,Non-Energy Minerals,Construction Materials,NSE
Wipro Ltd.,WIPRO,Technology Services,Information Technology Services,NSE
,LICI,Finance,Life/Health Insurance,NSE
,PNB,Finance,Major Banks,NSE
,SRF,Process Industries,Industrial Specialties,NSE
,ZOMATO,Technology Services,Packaged Software,NSE
,NAUKRI,Technology Services,Internet Software/Services,NSE
,TATAPOWER,Utilities,Electric Utilities,NSE
,AMBUJACEM,Non-Energy Minerals,Construction Materials,NSE
,JINDALSTEL,Non-Energy Minerals,Steel,NSE
,SIEMENS,Producer Manufacturing,Electrical Products,NSE
,TORNTPHARM,Health Technology,Pharmaceuticals: Major,NSE
,PIIND,Process Industries,Chemicals: Specialty,NSE
,SHREECEM,Non-Energy Minerals,Construction Materials,NSE
,COLPAL,Consumer Non-Durables,Household/Personal Care,NSE
,DLF,Finance,Real Estate Development,NSE
,ICICIPRULI,Finance,Life/Health Insurance,NSE
,ZYDUSLIFE,Health Technology,Pharmaceuticals: Major,NSE
,IRCTC,Consumer Services,Other Consumer Services,NSE
,TRENT,Retail Trade,Apparel/Footwear Retail,NSE
,MARICO,Consumer Non-Durables,Household/Personal Care,NSE
,VEDL,Non-Energy Minerals,Aluminum,NSE
,BANKBARODA,Finance,Major Banks,NSE
,CANBK,Finance,Regional Banks,NSE
,BERGEPAINT,Process Industries,Industrial Specialties,NSE
,IOC,Energy Minerals,Integrated Oil,NSE
,ADANIENSOL,,,
,ADANIGREEN,Utilities,Electric Utilities,NSE
,TVSMOTOR,Consumer Durables,Motor Vehicles,NSE
,INDIGO,Transportation,Airlines,NSE
,BOSCHLTD,Producer Manufacturing,Auto Parts: OEM,NSE
,ATGL,Utilities,Gas Distributors,NSE
,MOTHERSON,Producer Manufacturing,Auto Parts: OEM,NSE
,AWL,Process Industries,Agricultural Commodities/Milling,NSE
,BAJAJHLDNG,Finance,Financial Conglomerates,NSE
,ICICIGI,Finance,Specialty Insurance,NSE
,PGHH,Consumer Non-Durables,Household/Personal Care,NSE
,DABUR,Consumer Non-Durables,Household/Personal Care,NSE
,HAVELLS,Producer Manufacturing,Electrical Products,NSE
,MUTHOOTFIN,Finance,Finance/Rental/Leasing,NSE
,MCDOWELL-N,,,
,DMART,Retail Trade,Specialty Stores,NSE
,GAIL,Utilities,Gas Distributors,NSE
,PIDILITIND,Process Industries,Industrial Specialties,NSE
,SBICARD,Finance,Finance/Rental/Leasing,NSE
,HAL,Electronic Technology,Aerospace & Defense,NSE
,BEL,Electronic Technology,Aerospace & Defense,NSE
,VBL,Consumer Non-Durables,Beverages: Non-Alcoholic,NSE
,GODREJCP,Consumer Non-Durables,Household/Personal Care,NSE
,SHRIRAMFIN,Finance,Finance/Rental/Leasing,NSE
,ABB,Producer Manufacturing,Electrical Products,NSE
,CHOLAFIN,Finance,Finance/Rental/Leasing,NSE
,BCG,Technology Services,Packaged Software,NSE
,GODFRYPHLP,Consumer Non-Durables,Tobacco,NSE
,POLICYBZR,Technology Services,Internet Software/Services,NSE
,IFCI,Finance,Regional Banks,NSE
,PTCIL,Producer Manufacturing,Metal Fabrication,BSE
,IMFA,Non-Energy Minerals,Other Metals/Minerals,NSE
,SHILPAMED,Health Technology,Pharmaceuticals: Major,NSE
,UCOBANK,Finance,Regional Banks,NSE
,MOL,Process Industries,Chemicals: Specialty,NSE
,ASTRAZEN,Health Technology,Pharmaceuticals: Major,NSE
,RATNAMANI,Non-Energy Minerals,Steel,NSE
,KPITTECH,Technology Services,Packaged Software,NSE
,VTL,Process Industries,Textiles,NSE
,USHAMART,Producer Manufacturing,Metal Fabrication,NSE
,KSCL,Process Industries,Agricultural Commodities/Milling,NSE
,CLEAN,Process Industries,Chemicals: Specialty,NSE
,APLLTD,Health Technology,Pharmaceuticals: Major,NSE
,FUSION,Finance,Finance/Rental/Leasing,NSE
,VOLTAS,Producer Manufacturing,Industrial Machinery,NSE
,AVANTIFEED,Process Industries,Agricultural Commodities/Milling,NSE
,AETHER,Process Industries,Chemicals: Major Diversified,NSE
,AIAENG,Producer Manufacturing,Industrial Machinery,NSE
,PRSMJOHNSN,Non-Energy Minerals,Construction Materials,NSE
,HEMIPROP,Finance,Real Estate Development,NSE
,ZENTEC,Technology Services,Information Technology Services,NSE
,KEC,Industrial Services,Engineering & Construction,NSE
,GRAVITA,Non-Energy Minerals,Other Metals/Minerals,NSE
,UTIAMC,Finance,Investment Managers,NSE
,GANESHHOUC,Finance,Real Estate Development,NSE
,ACE,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,BAYERCROP,Process Industries,Chemicals: Agricultural,NSE
,ALKYLAMINE,Process Industries,Chemicals: Specialty,NSE
,ISEC,Finance,Investment Banks/Brokers,NSE
,PAISALO,Finance,Finance/Rental/Leasing,NSE
,CAMS,Finance,Regional Banks,NSE
,NSLNISP,Non-Energy Minerals,Steel,NSE
,BORORENEW,Process Industries,Industrial Specialties,NSE
,DEVYANI,Consumer Services,Restaurants,NSE
,RUPA,Consumer Non-Durables,Apparel/Footwear,NSE
,WOCKPHARMA,Health Technology,Pharmaceuticals: Major,NSE
,DELHIVERY,Transportation,Air Freight/Couriers,NSE
,TRIVENI,Process Industries,Agricultural Commodities/Milling,NSE
,SYNGENE,Commercial Services,Miscellaneous Commercial Services,NSE
,POWERINDIA,Electronic Technology,Electronic Equipment/Instruments,NSE
,SBCL,Non-Energy Minerals,Other Metals/Minerals,NSE
,TORNTPOWER,Utilities,Electric Utilities,NSE
,AARTIPHARM,Process Industries,Chemicals: Major Diversified,NSE
